locality,official_crimes_2025,estimated_crimes_2025,population_2025,crime_rate_100k,insecurity_noche_pct,crime_z,insecurity_z,perception_excess_index,disposicion_inadecuada_pct
Antonio Nariño,2873.0,5806.522949363845,79758.0,7280.17621976961,48.6938143024599,0.3084466978322575,0.7863535735013524,0.4779068756690949,22.7511698910004
Barrios Unidos,5834.0,8956.019063709426,139756.0,6408.325269547945,43.7551433416244,0.2453542397632923,0.1015412832877672,-0.1438129564755251,18.252765488716665
Bosa,9779.0,42598.21997654285,767340.0,5551.413972494964,48.1593839670449,0.1743551875383447,0.7122477128644571,0.5378925253261124,27.98925749174025
Chapinero,9653.0,11208.900995108244,163693.0,6847.513940796639,28.5938895217591,0.2781413958652034,-2.00076782643574,-2.2789092223009435,11.09545365793503
Ciudad Bolívar,10364.0,22048.78805868086,680206.0,3241.4868523183945,53.006882311700295,-0.0917367286643144,1.3844177095164354,1.47615443818075,25.90658123733749
Engativá,16824.0,34302.03638256997,827379.0,4145.867417781931,40.9090895627856,0.0299641835684917,-0.2931018548790844,-0.3230660384475762,16.649950632809958
Fontibón,9743.0,22296.66708776953,391475.0,5695.553250595703,39.5732228131363,0.1870334544600529,-0.4783375135212941,-0.6653709679813471,7.1336147698698005
Kennedy,16925.0,28468.631656828245,1080598.0,2634.5256660504874,48.4403377314024,-0.1942659319920842,0.7512056819900691,0.9454716139821532,24.11738742431982
La Candelaria,1758.0,1696.249944890709,16801.0,10096.124902629062,36.0642823355159,0.4701909303726737,-0.964898692380607,-1.4350896227532808,20.92217273278338
Los Mártires,6145.0,23527.149533391585,83987.0,28012.84667078427,59.1645453058,0.9750002849414572,2.238259427418508,1.2632591424770507,30.09165370156247
Puente Aranda,8981.0,18292.817477271783,251711.0,7267.388980724634,41.5264226880694,0.3075771503335443,-0.2075004218816553,-0.5150775722151997,15.92883522026125
Rafael Uribe Uribe,6168.0,14428.289296495564,379109.0,3805.8419337171,47.880009367670496,-0.0123584772254268,0.6735087159273694,0.6858671931527963,25.41749047854686
San Cristóbal,5971.0,9127.763235944502,401414.0,2273.90256342442,50.1344486427911,-0.2670578600738958,0.9861166493948808,1.2531745094687765,23.88105141130152
Santa Fe,7378.0,18766.71324505804,113387.0,16551.027229804153,40.2192325863005,0.7146972130269938,-0.3887596826090493,-1.103456895636043,25.22404568371231
Suba,17545.0,45142.59798858244,1246637.0,3621.150181534997,34.7825653726371,-0.0369606538332923,-1.1426257642416848,-1.1056651104083923,21.90674617202222
Teusaquillo,9407.0,42340.48169932251,157566.0,26871.585049644284,35.3805145714746,0.9544248394819153,-1.0597121699701582,-2.0141370094520736,6.55533244203528
Tunjuelito,3729.0,7390.112347434257,177370.0,4166.495093552605,44.5337770816857,0.0324188283942705,0.2095091878105545,0.1770903594162839,34.989512006086585
Usaquén,9706.0,40054.68466480139,572925.0,6991.261450416963,36.1625390947353,0.2884173451841043,-0.95127408834369,-1.2396914335277942,5.70858765254795
Usme,4653.0,9061.95696259474,403137.0,2247.8603954969994,40.4541740668788,-0.2727535786376717,-0.3561819274484226,-0.0834283488107509,42.26498511089706
