locality,reported_people,reported_households,total_household_responses,report_share_pct,locality_key
Antonio Nariño,8606.918233512468,4135.366168721509,6980.716385166813,59.2398536274682,ANTONIONARINO
Barrios Unidos,17281.110751326218,8454.825576690539,13488.719917463406,62.68071120480715,BARRIOSUNIDOS
Bosa,48588.750181206095,19728.72875017452,48717.70134423557,40.49601727054572,BOSA
Chapinero,16174.681592127368,11130.196828874028,13547.785605327048,82.15510012571787,CHAPINERO
Ciudad Bolívar,37133.805811591934,16688.21637823625,35068.19142290122,47.58790146029043,CIUDADBOLIVAR
Engativá,99077.37645794166,40730.44119100932,78686.54453026937,51.762904870401336,ENGATIVA
Fontibón,33907.22647572702,13754.171311754213,31353.869990076942,43.86753952895516,FONTIBON
Kennedy,92298.77539585726,40308.16579082854,80639.88405062676,49.985396513619186,KENNEDY
La Candelaria,2521.655318878917,1554.219339393671,1699.585932905567,91.44694065198685,LACANDELARIA
Los Mártires,4947.486328955974,3089.782659892224,8495.50531719048,36.36961598552722,LOSMARTIRES
Puente Aranda,21578.903188966255,7590.352908731207,15446.62652980116,49.13922722276704,PUENTEARANDA
Rafael Uribe Uribe,22214.391229967565,8228.30716477542,20435.571104526898,40.264630348171096,RAFAELURIBEURIBE
San Cristóbal,36355.054978996595,13305.576479991489,25873.105074585696,51.42628394092954,SANCRISTOBAL
Santa Fe,11549.733859351007,6625.132987763506,13780.642917457431,48.07564514548688,SANTAFE
Suba,78348.85533489336,38175.53163663578,86192.08905937013,44.291224465321896,SUBA
Teusaquillo,6448.669868488476,4092.7173793327515,11374.691386344071,35.980909198523655,TEUSAQUILLO
Tunjuelito,12498.440438716942,5026.2421701758,8831.027646426826,56.915710961560606,TUNJUELITO
Usaquén,34256.53950044993,16810.091044845623,45452.807956208904,36.98361399595192,USAQUEN
Usme,31713.674164634744,16093.056708420381,32117.946170969008,50.10612018201427,USME
