_id,Ano,Indicador,Cod_Loc,Loc,Total.Si,Total.No,Porcentaje.Si,Porcentaje.No
1,2021,Cercanía a botaderos de basura,01,Usaquén            ,"4701,2","224800,4","0,0","1,0"
2,2021,Cercanía a botaderos de basura,10,Engativá                ,"22201,0","272326,7","0,1","0,9"
3,2021,Cercanía a botaderos de basura,11,Suba               ,"33523,0","409197,7","0,1","0,9"
4,2021,Cercanía a botaderos de basura,12,Barrios Unidos     ,"3893,6","51666,3","0,1","0,9"
5,2021,Cercanía a botaderos de basura,13,Teusaquillo        ,"1338,1","75553,5","0,0","1,0"
6,2021,Cercanía a botaderos de basura,14,Los Mártires       ,"5498,2","27539,3","0,2","0,8"
7,2021,Cercanía a botaderos de basura,15,Antonio Nariño,"2867,5","25169,3","0,1","0,9"
8,2021,Cercanía a botaderos de basura,16,Puente Aranda      ,"11158,9","77980,7","0,1","0,9"
9,2021,Cercanía a botaderos de basura,17,La Candelaria         ,"762,8","6825,8","0,1","0,9"
10,2021,Cercanía a botaderos de basura,18,Rafael Uribe Uribe,"15012,3","120182,4","0,1","0,9"
11,2021,Cercanía a botaderos de basura,19,Ciudad Bolívar                ,"40266,6","166297,9","0,2","0,8"
12,2021,Cercanía a botaderos de basura,02,Chapinero          ,"2595,1","75252,1","0,0","1,0"
13,2021,Cercanía a botaderos de basura,20,Sumapaz       ,"1,8","1117,1","0,0","1,0"
14,2021,Cercanía a botaderos de basura,03,Santa Fe           ,"5386,2","33489,8","0,1","0,9"
15,2021,Cercanía a botaderos de basura,04,San Cristóbal               ,"16224,1","118775,4","0,1","0,9"
16,2021,Cercanía a botaderos de basura,05,Usme               ,"47652,8","79419,9","0,4","0,6"
17,2021,Cercanía a botaderos de basura,06,Tunjuelito         ,"17802,5","52516,1","0,3","0,7"
18,2021,Cercanía a botaderos de basura,07,Bosa               ,"39360,3","193546,3","0,2","0,8"
19,2021,Cercanía a botaderos de basura,08,Kennedy            ,"46344,0","316383,1","0,1","0,9"
20,2021,Cercanía a botaderos de basura,09,Fontibón           ,"8386,7","137602,4","0,1","0,9"
